hour,ride_count,anomaly
2019-01-10 00:00:00,5141,1
2019-01-10 01:00:00,2748,1
2019-01-10 02:00:00,1729,1
2019-01-10 03:00:00,1180,1
2019-01-10 04:00:00,1245,1
2019-01-10 05:00:00,2793,1
2019-01-10 06:00:00,7259,1
2019-01-10 07:00:00,13435,1
2019-01-10 08:00:00,16047,1
2019-01-10 09:00:00,14495,1
2019-01-10 10:00:00,13081,1
2019-01-10 11:00:00,13479,1
2019-01-10 12:00:00,14182,1
2019-01-10 13:00:00,14387,1
2019-01-10 14:00:00,15810,1
2019-01-10 15:00:00,16296,1
2019-01-10 16:00:00,14497,1
2019-01-10 17:00:00,17122,1
2019-01-10 18:00:00,19112,-1
2019-01-10 19:00:00,17868,1
2019-01-10 20:00:00,17142,1
2019-01-10 21:00:00,17211,1
2019-01-10 22:00:00,15112,1
2019-01-10 23:00:00,10492,1
2019-01-11 00:00:00,7037,1
2019-01-11 01:00:00,4334,1
2019-01-11 02:00:00,2678,1
2019-01-11 03:00:00,1757,1
2019-01-11 04:00:00,1649,1
2019-01-11 05:00:00,2905,1
2019-01-11 06:00:00,7535,1
2019-01-11 07:00:00,13397,1
2019-01-11 08:00:00,15880,1
2019-01-11 09:00:00,14298,1
2019-01-11 10:00:00,13018,1
2019-01-11 11:00:00,13166,1
2019-01-11 12:00:00,13788,1
2019-01-11 13:00:00,14093,1
2019-01-11 14:00:00,15417,1
2019-01-11 15:00:00,16415,1
2019-01-11 16:00:00,15268,1
2019-01-11 17:00:00,17722,1
2019-01-11 18:00:00,20742,-1
2019-01-11 19:00:00,19405,-1
2019-01-11 20:00:00,15996,1
2019-01-11 21:00:00,15459,1
2019-01-11 22:00:00,15531,1
2019-01-11 23:00:00,14224,1
2019-01-12 00:00:00,11627,1
2019-01-12 01:00:00,9316,1
2019-01-12 02:00:00,7272,1
2019-01-12 03:00:00,4822,1
2019-01-12 04:00:00,3113,1
2019-01-12 05:00:00,1761,1
2019-01-12 06:00:00,2863,1
2019-01-12 07:00:00,4493,1
2019-01-12 08:00:00,6988,1
2019-01-12 09:00:00,10068,1
2019-01-12 10:00:00,12080,1
2019-01-12 11:00:00,13649,1
2019-01-12 12:00:00,15199,1
2019-01-12 13:00:00,15221,1
2019-01-12 14:00:00,14313,1
2019-01-12 15:00:00,15340,1
2019-01-12 16:00:00,15256,1
2019-01-12 17:00:00,15581,1
2019-01-12 18:00:00,16430,1
2019-01-12 19:00:00,15985,1
2019-01-12 20:00:00,13056,1
2019-01-12 21:00:00,12718,1
2019-01-12 22:00:00,13882,1
2019-01-12 23:00:00,14082,1
2019-01-13 00:00:00,12689,1
2019-01-13 01:00:00,10718,1
2019-01-13 02:00:00,8807,1
2019-01-13 03:00:00,6131,1
2019-01-13 04:00:00,3737,1
2019-01-13 05:00:00,1619,1
2019-01-13 06:00:00,2252,1
2019-01-13 07:00:00,3868,1
2019-01-13 08:00:00,5886,1
2019-01-13 09:00:00,8082,1
2019-01-13 10:00:00,10849,1
2019-01-13 11:00:00,12631,1
2019-01-13 12:00:00,14685,1
2019-01-13 13:00:00,13695,1
2019-01-13 14:00:00,13747,1
2019-01-13 15:00:00,13733,1
2019-01-13 16:00:00,14012,1
2019-01-13 17:00:00,13992,1
2019-01-13 18:00:00,13125,1
2019-01-13 19:00:00,11462,1
2019-01-13 20:00:00,10109,1
2019-01-13 21:00:00,9386,1
2019-01-13 22:00:00,7350,1
2019-01-13 23:00:00,4937,1
2019-01-14 00:00:00,3236,1
2019-01-14 01:00:00,1922,1
2019-01-14 02:00:00,1155,1
2019-01-14 03:00:00,814,-1
2019-01-14 04:00:00,1255,1
2019-01-14 05:00:00,2840,1
2019-01-14 06:00:00,7432,1
2019-01-14 07:00:00,13024,1
2019-01-14 08:00:00,15392,1
2019-01-14 09:00:00,13716,1
2019-01-14 10:00:00,12151,1
2019-01-14 11:00:00,11919,1
2019-01-14 12:00:00,12402,1
2019-01-14 13:00:00,12672,1
2019-01-14 14:00:00,13682,1
2019-01-14 15:00:00,14800,1
2019-01-14 16:00:00,13781,1
2019-01-14 17:00:00,16220,1
2019-01-14 18:00:00,17439,1
2019-01-14 19:00:00,15824,1
2019-01-14 20:00:00,13931,1
2019-01-14 21:00:00,12665,1
2019-01-14 22:00:00,10111,1
2019-01-14 23:00:00,6699,1
2019-01-15 00:00:00,3935,1
2019-01-15 01:00:00,2273,1
2019-01-15 02:00:00,1331,1
2019-01-15 03:00:00,1018,1
2019-01-15 04:00:00,1217,1
2019-01-15 05:00:00,2708,1
2019-01-15 06:00:00,7422,1
2019-01-15 07:00:00,13529,1
2019-01-15 08:00:00,16326,1
2019-01-15 09:00:00,14811,1
2019-01-15 10:00:00,13196,1
2019-01-15 11:00:00,13155,1
2019-01-15 12:00:00,14080,1
2019-01-15 13:00:00,13514,1
2019-01-15 14:00:00,14978,1
2019-01-15 15:00:00,15682,1
2019-01-15 16:00:00,14142,1
2019-01-15 17:00:00,16275,1
2019-01-15 18:00:00,18198,1
2019-01-15 19:00:00,16935,1
2019-01-15 20:00:00,16175,1
2019-01-15 21:00:00,15706,1
2019-01-15 22:00:00,12688,1
2019-01-15 23:00:00,8076,1
2019-01-16 00:00:00,4840,1
2019-01-16 01:00:00,2704,1
2019-01-16 02:00:00,1733,1
2019-01-16 03:00:00,1118,1
2019-01-16 04:00:00,1297,1
2019-01-16 05:00:00,2820,1
2019-01-16 06:00:00,7630,1
2019-01-16 07:00:00,13468,1
2019-01-16 08:00:00,16032,1
2019-01-16 09:00:00,14311,1
2019-01-16 10:00:00,13025,1
2019-01-16 11:00:00,13391,1
2019-01-16 12:00:00,14130,1
2019-01-16 13:00:00,14082,1
2019-01-16 14:00:00,15293,1
2019-01-16 15:00:00,15564,1
2019-01-16 16:00:00,14013,1
2019-01-16 17:00:00,15962,1
2019-01-16 18:00:00,18567,1
2019-01-16 19:00:00,17326,1
2019-01-16 20:00:00,16438,1
2019-01-16 21:00:00,16080,1
2019-01-16 22:00:00,13756,1
2019-01-16 23:00:00,9119,1
2019-01-17 00:00:00,5206,1
2019-01-17 01:00:00,2967,1
2019-01-17 02:00:00,1882,1
2019-01-17 03:00:00,1296,1
2019-01-17 04:00:00,1384,1
2019-01-17 05:00:00,2833,1
2019-01-17 06:00:00,7657,1
2019-01-17 07:00:00,14171,1
2019-01-17 08:00:00,16141,1
2019-01-17 09:00:00,14475,1
2019-01-17 10:00:00,13149,1
2019-01-17 11:00:00,13228,1
2019-01-17 12:00:00,14088,1
